analysis_set,min_trades_threshold,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_traderate,magic_prefix_weekly_traderate,grp_trades,grp_pf,grp_traderate,grp_weekly_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
full,6,107,677,0.91,0.81,0.97,54,1.82,0.09,0.36,62.96,21.53,4,PD_trend=PD_green | above_dayLowSoFar=true | dayBrokePDL=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.15 19:08:22
ON,6,107,366,0.9,0.55,0.93,78,1.81,0.13,0.5,64.1,31.68,9,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,106,337,0.84,0.44,0.88,46,1.81,0.06,0.29,65.22,18.78,7,below_ONH=true | below_PDC=true | below_PDH=true | below_dayHighSoFar=true | below_midpoint=true | dayBrokePDH=false | day_of_week=WED,2024.01.31 20:01:03; 2024.02.21 01:58:08; 2024.02.21 21:21:11
RTH-afterIB,6,109,204,0.83,0.31,0.75,40,1.81,0.06,0.29,65.0,16.01,10,above_RTHL=true | above_dayLowSoFar=true | below_IBH=true | below_ONH=true | below_ONL=true | below_PDC=true | below_PDH=true | below_PDO=true | below_RTHH=true | below_dayHighSoFar=true,2024.01.11 17:50:11; 2024.05.22 21:32:05; 2024.07.18 19:22:20
ON,6,107,366,0.9,0.55,0.93,75,1.81,0.12,0.47,64.0,30.47,9,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,41,1.81,0.06,0.29,63.41,16.83,4,above_PDC=true | above_PDO=true | dayBrokePDL=false | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
ON,6,107,366,0.9,0.55,0.93,39,1.81,0.07,0.31,64.1,15.85,4,above_PDC=true | above_PDO=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,42,1.81,0.07,0.3,64.29,16.96,4,above_PDC=true | above_midpoint=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.01.25 01:35:50; 2024.02.02 13:16:57; 2024.02.07 15:29:18
full,6,107,677,0.91,0.81,0.97,43,1.81,0.06,0.3,62.79,17.15,5,PD_trend=PD_green | above_ONH=true | above_PDC=true | above_dayHighSoFar=true | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
full,6,107,677,0.91,0.81,0.97,41,1.8,0.06,0.28,63.41,16.82,5,PD_trend=PD_green | above_PDL=true | above_dayLowSoFar=true | dayBrokePDL=false | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
full,6,116,155,0.98,0.23,0.71,48,1.8,0.08,0.33,64.58,18.93,7,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,39,1.8,0.07,0.28,64.1,15.5,4,PD_trend=PD_green | above_PDL=true | above_PDO=true | levelTag=weeklyPivot,2024.01.19 14:04:11; 2024.02.16 14:50:18; 2024.02.28 03:27:59
full,6,109,700,0.82,0.73,0.87,35,1.8,0.06,0.29,62.86,13.51,8,above_ONH=true | above_PDC=true | above_PDL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=TUE | levelTag=dailyUp1,2024.01.23 21:12:01; 2024.05.21 21:35:06; 2024.06.25 20:28:40
RTH-IB,6,107,98,0.97,0.16,0.53,39,1.8,0.06,0.29,64.1,15.65,2,below_PDH=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.11 16:07:39; 2024.01.29 16:12:44
full,6,107,677,0.91,0.81,0.97,36,1.79,0.06,0.28,63.89,14.45,4,PD_trend=PD_green | above_ONL=true | above_midpoint=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,107,677,0.91,0.81,0.97,62,1.79,0.1,0.37,64.52,24.65,4,above_ONL=true | above_PDH=true | above_dayHighSoFar=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,33,1.79,0.06,0.27,63.64,13.25,4,PD_trend=PD_green | above_PDO=true | above_midpoint=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,59,1.79,0.09,0.35,64.41,23.43,5,above_ONH=true | above_PDH=true | above_dayHighSoFar=true | dayBrokePDL=false | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,33,1.79,0.06,0.26,63.64,13.22,4,PD_trend=PD_green | above_midpoint=true | levelTag=weeklyUp1 | openGap_info=unknown,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,101,1097,0.79,0.92,0.99,32,1.79,0.06,0.27,62.5,12.19,5,above_ONH=true | above_ONL=true | above_dayHighSoFar=true | day_of_week=TUE | levelTag=dailyUp1,2024.01.23 21:12:02; 2024.03.19 17:44:49; 2024.05.07 11:09:49
full,6,107,677,0.91,0.81,0.97,48,1.79,0.07,0.34,62.5,18.82,6,PD_trend=PD_green | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
