magic	setup_type	ref1	ref2	openGap_info	PD_trend	dayBrokePDH	dayBrokePDL	count	winrate	avg_profit
122	price-betweenH-L	RTHH	ONH	""	PD_red	""	true	4	0.25	-65.85
122	price-betweenH-L	RTHH	IBH	""	PD_red	""	true	4	0.25	-65.85
122	price-betweenH-L	dayHighSoFar	ONH	""	PD_red	""	true	4	0.25	-65.85
122	price-betweenH-L	dayHighSoFar	IBH	""	PD_red	""	true	4	0.25	-65.85
122	price-betweenH-L	midpoint	PDL	""	PD_red	false	false	4	0.25	-70.94
122	price-betweenH-L	ONL	IBL	gapUp_Day	PD_red	false	""	4	0.25	-70.51
122	price-below	ONL	dayHighSoFar	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-below	ONL	IBH	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-below	ONL	midpoint	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-betweenH-L	ONL	RTHL	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-betweenH-L	ONL	dayLowSoFar	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-below	ONL	RTHH	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-below	ONH	ONL	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-below	PDC	ONL	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-below	PDH	ONL	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-below	PDO	ONL	gapUp_Day	PD_red	false	""	5	0.2	-84.62
122	price-betweenH-L	IBH	PDL	""	PD_red	false	""	7	0.143	-100.92
122	price-above	PDL	IBL	""	PD_red	""	""	9	0.111	-107.77
122	price-above	PDO	ONH	gapUp_Day	PD_red	""	true	2	0.0	-134.12
122	price-above	PDO	IBL	gapUp_Day	PD_red	""	true	2	0.0	-134.12
122	price-above	PDO	IBH	gapUp_Day	PD_red	""	true	2	0.0	-134.12
121	price-above	PDC	ONH	gapDown_Day	PD_green	true	true	2	0.0	-143.29
121	price-betweenH-L	IBH	ONH	gapDown_Day	PD_green	true	true	2	0.0	-143.29
122	price-betweenH-L	ONL	PDL	gapUp_Day	PD_red	false	false	2	0.0	-141.93
